[40888:14728:0518/195649.334:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[40888:36196:0518/195649.394:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[40888:14728:0518/195649.420:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[7192:33028:0518/195653.648:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-B0E3840270CB79D6FB01190CE4CE9CF0 will be ignored
[19976:392:0518/202702.869:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 7-C25309A2FEC711D36458163E4A31A182 will be ignored
[52520:52656:0518/202847.913:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(103,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)

[52520:19928:0518/202848.062:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(136,1): warning X4000: use of potentially uninitialized variable (f_i_int_int_int2)
C:\fakepath(138,1): warning X4000: use of potentially uninitialized variable (f_i_int_int_int2)
C:\fakepath(174,1): warning X4000: use of potentially uninitialized variable (f_u_int_int_int)

[52520:52956:0518/202848.594:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(166,1): warning X4000: use of potentially uninitialized variable (f_renderMipMapLevel_int)

[52520:41396:0518/202911.780:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202911.797:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202911.814:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202911.832:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202911.846:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202911.863:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202911.880:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202911.897:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202911.913:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202911.931:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202911.948:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202911.964:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202911.981:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202911.997:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202912.013:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #891).
[52520:41396:0518/202912.047:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #892).
[52520:41396:0518/202912.063:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #892).
[52520:41396:0518/202912.082:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #892).
[52520:41396:0518/202912.096:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #892).
[52520:41396:0518/202912.112:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #892).
[52520:41396:0518/202912.147:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #893).
[52520:41396:0518/202912.165:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #893).
[52520:41396:0518/202912.182:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #893).
[52520:41396:0518/202912.196:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #893).
[52520:41396:0518/202912.212:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #893).
