[36108:30044:0527/152316.818:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[36108:60748:0527/152316.964:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[36108:30044:0527/152317.027:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[37584:60308:0527/152323.773:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-582DBFBC11BDC2B0CD3052EA5318615F will be ignored
[36108:62600:0527/152559.392:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=27})
[36108:62600:0527/152559.392:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=25})
[36108:62600:0527/152559.392:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=24})
[36108:62600:0527/152559.392:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=23})
[36108:62600:0527/152559.392:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=25})
[36108:62600:0527/152559.392:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=27})
[36108:62600:0527/152559.935:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=25})
[36108:62600:0527/152601.918:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=24})
[36108:62600:0527/152602.934:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=23})
[36108:62600:0527/152604.941:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=22})
[36108:62600:0527/152606.920:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=21})
[36108:62600:0527/152608.934:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=20})
[36108:62600:0527/152609.940:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=21})
[36108:62600:0527/152611.939:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=20})
[36108:62600:0527/152619.219:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=21})
[36108:62600:0527/152621.931:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000287C0235AD40}, {new_limit=22})
[53548:8684:0527/152624.647:VERBOSE1:frame_impl.cc(620)] frame 6-45090DB7B9C83F587A15E2DC4BB946F1 disconnected (reason=RENDER_FRAME_DISCONNECT, current_state=CONNECTION_ACKED)
[53548:8684:0527/152624.647:VERBOSE1:frame_impl.cc(633)] frame 6-45090DB7B9C83F587A15E2DC4BB946F1 connection retry scheduled
